SMILES,Name,Pubchem_ID,CAS-RN,Tb,Tb_source,GHS_signal,298.15,298.150025,298.15004999999996,298.1500749999999,298.15009999999995,Mean,ln_gamma_inf_ij_,ln_gamma_inf_ik_,ln_gamma_inf_ji_,ln_gamma_inf_jk_,ln_gamma_inf_ki_,ln_gamma_inf_kj_,MW,Rank
CCCCCCCl,"HEXANE, 1-CHLORO",10992.0,"['544-10-5', '70776-07-7']",408.15,CRC_ORG,Warning,1.7109783276112387,1.7109781175208831,1.710977907430573,1.710977697340307,1.710977487250085,1.7109779074306175,0.37775507826077115,3.1478999120564715,0.3065794117136341,2.4209421710977175,2.9580072538441033,1.250555190280069,120.623,27
CCCCCC#N,"HEXANOIC ACID, NITRILE",12352.0,"['628-73-9', '68002-67-5', '1219805-03-4', '02-00-0']",436.65,CRC_ORG,Warning,1.6892293741799371,1.6892295242568267,1.6892296743337163,1.6892298244106048,1.689229974487495,1.6892296743337158,0.3777539917929101,1.0228464015024694,0.3065794117136341,1.1356559055760962,1.6599285165925708,1.4711604367760658,97.161,28
CCc1cccnc1,"PYRIDINE, 3-ETHYL",10823.0,"['536-78-7', '151103-56-9']",439.15,CRC_ORG,Warning,1.6784121111107815,1.6784120189671787,1.6784119268235893,1.6784118346800136,1.67841174253645,1.6784119268236026,0.37775507826077115,1.4986508585272744,0.3065796501322132,-0.08447801858508894,0.4333700461170025,0.13348924516264898,107.15599999999998,29
OC1CCCCC1,CYCLOHEXANOL,7966.0,"['108-93-0', '06-00-0', '108-93-0']",434.05,CRC_ORG,Warning,1.674050218978268,1.6740501640690206,1.6740501091597793,1.674050054250545,1.6740499993413165,1.6740501091597857,0.3777530381185937,1.6322197570730008,0.306579173295055,0.27375443426151963,0.789000339668003,-0.17654044267086227,100.161,30
OCC1CCCO1,"METHANOL, (2-TETRAHYDROFURYL)",7360.0,"['97-99-4', '93842-55-8', '97-99-4']",449.45,CRC_ORG,Warning,1.6348694353381086,1.6348694496518505,1.6348694639655919,1.6348694782793318,1.634869492593071,1.6348694639655907,0.3777535149557519,1.667948263600471,0.3065798885507923,-0.4685791367782275,0.022983825830566705,-0.3115048278136381,102.13300000000001,31
CCCCCC(C)=O,2-HEPTANONE,8051.0,"['110-43-0', '01-00-0', '110-43-0']",424.15,CRC_ORG,Warning,1.6308589544092555,1.630859020551565,1.6308590866938697,1.6308591528361716,1.6308592189784716,1.6308590866938666,0.37775531667935025,3.1292972280943565,0.3065796501322132,1.3929627237987956,1.8820696468284013,1.2079445959999517,114.18799999999999,32
CCCCC(=O)CC,3-HEPTANONE,7802.0,"['106-35-4', '01-00-0']",419.15,CRC_ORG,Warning,1.6098270144169948,1.6098270276585618,1.6098270409001258,1.6098270541416908,1.609827067383253,1.6098270409001256,0.37775531667935025,2.800963005245121,0.3065794117136341,1.4072417399942698,1.8833684852074946,1.2055773591427288,114.18799999999999,33
CCNC=O,"FORMIC ACID, AMIDE, N-ETHYL",12319.0,['627-45-2'],471.15,CRC_ORG,Warning,1.5912407027076352,1.5912407303986158,1.5912407580895949,1.5912407857805717,1.591240813471547,1.591240758089593,0.37775555509792935,1.4844627735335123,0.3065789348764759,-0.25370970445110896,0.21080435846523846,-0.36877888232257555,73.095,34
N#CN1CCCCC1,"PIPERIDINE, 1-CYANO",73736.0,['1530-87-6'],471.35,JOBACK,Warning,1.5719557957129078,1.5719557691978643,1.571955742682824,1.5719557161677868,1.5719556896527518,1.571955742682827,0.3777539917929101,0.9788291989282565,0.3065798885507923,0.7161421747904422,1.1684627148914872,0.8882040414694709,110.16000000000001,35
OC1CCCC1,CYCLOPENTANOL,7298.0,"['96-41-3', '96-41-3']",413.55,CRC_ORG,Warning,1.5642111535103453,1.5642111285098452,1.5642111035093476,1.5642110785088523,1.5642110535083598,1.56421110350935,0.37775555509792935,1.7588759063644068,0.3065796501322132,0.042308556575291846,0.4896901662582624,-0.2318331269299579,86.134,36
